Participant ID,Teaching Method,Order of Tasks,Round,Target,Completion Time (s),Successful?
1,1,EH,1,A,3.03,Y
1,1,EH,2,A,1.76,Y
1,1,EH,3,A,1.4,Y
2,2,EH,1,A,17.7,Y
2,2,EH,2,A,11.08,Y
2,2,EH,3,A,2.7,Y
3,1,HE,1,A,0.8,Y
3,1,HE,2,A,1.15,Y
3,1,HE,3,A,0.41,Y
4,2,HE,1,A,9.38,Y
4,2,HE,2,A,2.96,Y
4,2,HE,3,A,1.43,Y
5,1,EH,1,A,3.48,Y
5,1,EH,2,A,4.08,Y
5,1,EH,3,A,4.23,Y
6,2,EH,1,A,16.88,Y
6,2,EH,2,A,7.18,Y
6,2,EH,3,A,1.81,Y
7,1,HE,1,A,9.75,Y
7,1,HE,2,A,1.58,Y
7,1,HE,1,A,2.66,Y
8,2,HE,2,A,2.81,Y
8,2,HE,3,A,1.65,Y
8,2,HE,1,A,2.05,Y
1,1,EH,2,B,41.97,Y
1,1,EH,3,B,9.18,Y
1,1,EH,1,B,50.44,Y
2,2,EH,2,B,92.3,Y
2,2,EH,3,B,99.51,Y
2,2,EH,1,B,146.27,Y
3,1,HE,2,B,17.4,Y
3,1,HE,3,B,4.46,Y
3,1,HE,1,B,15.65,Y
4,2,HE,2,B,18.2,Y
4,2,HE,3,B,4.55,Y
4,2,HE,1,B,37.02,Y
5,1,EH,2,B,146.18,Y
5,1,EH,3,B,180,N
5,1,EH,1,B,65.21,Y
6,2,EH,2,B,9.98,Y
6,2,EH,1,B,5.06,Y
6,2,EH,2,B,8.3,Y
7,1,HE,3,B,30.09,Y
7,1,HE,1,B,2.23,Y
7,1,HE,2,B,2.98,Y
8,2,HE,3,B,27.93,Y
8,2,HE,1,B,35.55,Y
8,2,HE,2,B,6.58,Y
1,1,EH,3,C,4.61,Y
1,1,EH,1,C,2.53,Y
1,1,EH,2,C,4.86,Y
2,2,EH,3,C,13.85,Y
2,2,EH,1,C,61.09,Y
2,2,EH,2,C,2.18,Y
3,1,HE,3,C,2.86,Y
3,1,HE,1,C,1.03,Y
3,1,HE,2,C,0.68,Y
4,2,HE,3,C,1.43,Y
4,2,HE,1,C,1,Y
4,2,HE,2,C,1.61,Y
5,1,EH,1,C,13.79,Y
5,1,EH,2,C,44.27,Y
5,1,EH,3,C,6.21,Y
6,2,EH,1,C,6.85,Y
6,2,EH,2,C,7.53,Y
6,2,EH,3,C,14.38,Y
7,1,HE,1,C,15.92,Y
7,1,HE,2,C,1.54,Y
7,1,HE,3,C,2.53,Y
8,2,HE,1,C,4.4,Y
8,2,HE,2,C,29.25,Y
8,2,HE,3,C,18.2,Y
1,1,EH,1,A,11,Y
1,1,EH,2,A,3,Y
1,1,EH,3,A,2,Y
2,2,EH,1,A,10,Y
2,2,EH,2,A,18,Y
2,2,EH,3,A,4,Y
3,1,HE,1,A,7,Y
3,1,HE,2,A,14,Y
3,1,HE,1,A,9,Y
4,2,HE,2,A,22,Y
4,2,HE,3,A,8,Y
4,2,HE,1,A,6,Y
5,1,EH,2,A,11,Y
5,1,EH,3,A,6,Y
5,1,EH,1,A,14,Y
6,2,EH,2,A,4,Y
6,2,EH,3,A,3,Y
6,2,EH,1,A,1,Y
7,1,HE,2,A,27,Y
7,1,HE,3,A,7,Y
7,1,HE,1,A,16,Y
8,2,HE,2,A,5,Y
